Region,Latin_Name,Species,Age,Sex,AIV,Province,Sampling_Site,Weather_Station_nearest,Day_sampling,Month_sampling,Year_sampling,Stratum_of_density_estimates,Population_Density,Pond_Density,Percent_MALL,Hunting_Zone,Percent_HY,Sampling_Latitude,Sampling_Longitude,Temperature
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Frank Lake,3031480,28,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.46428571
Prairie Provinces,Anas discors,BWTE,HY,F,0,AB,Frank Lake,3031480,28,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.46428571
Prairie Provinces,Anas discors,BWTE,HY,F,0,AB,Frank Lake,3031480,28,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.46428571
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,1,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas crecca,AGWT,HY,F,0,AB,George Lake,3072525,29,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.69285714
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Frank Lake,3031480,29,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.70714286
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,1,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Hay Lake AB,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas acuta,NOPI,HY,F,1,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,1,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.67857143
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Frank Lake,3031480,30,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,17.04285714
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Frank Lake,3031480,30,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,17.04285714
Prairie Provinces,Anas discors,BWTE,HY,M,0,AB,Frank Lake,3031480,30,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,17.04285714
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Cardinal Lake,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Brownville Area,3075040,30,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.4
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas crecca,AGWT,HY,M,1,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas crecca,AGWT,HY,M,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas crecca,AGWT,HY,M,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas crecca,AGWT,HY,F,0,AB,George Lake,3072525,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118.3,13.73571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Frank Lake,3031480,31,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,17.37857143
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Cardinal Lake,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,1,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Brownville Area,3075040,31,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56,-117.5,14.37142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,1,AB,Last Lake,3072525,1,8,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.91428571
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Last Lake,3072525,1,8,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.91428571
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,1,8,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.91428571
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Last Lake,3072525,1,8,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.91428571
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,1,AB,Last Lake,3072525,1,8,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-118,13.91428571
